name,gender,age,city,department,salary,email
zara,male,,islamabad,sales,129911.66,zara25@gmail.com
tariq,female,,islamabad,marketing,97298.18,tariq33@gmail.com
ahmed,male,39.0,karachi,finance,,ahmed13@gmail.com
bilal,male,31.0,islamabad,sales,135368.68,bilal51@gmail.com
usman,male,26.0,lahore,hr,,usman66@gmail.com
hina,male,41.0,lahore,marketing,56323.27,hina41@gmail.com
ali,female,,karachi,sales,121366.67,ali29@gmail.com
ahmed,female,36.0,lahore,hr,,ahmed47@gmail.com
tariq,female,25.0,peshawar,finance,27878.17,tariq61@gmail.com
ayesha,female,,peshawar,finance,111961.26,ayesha71@gmail.com
tariq,female,29.0,lahore,finance,,tariq78@gmail.com
ali,female,,peshawar,sales,88065.97,ali98@gmail.com
sana,male,25.0,peshawar,sales,,sana53@gmail.com
usman,male,51.0,quetta,hr,146508.51,usman13@gmail.com
ayesha,male,37.0,quetta,it,96065.12,ayesha73@gmail.com
zara,female,56.0,quetta,it,,zara35@gmail.com
usman,male,,lahore,sales,107909.74,usman20@gmail.com
ahmed,male,20.0,islamabad,sales,,ahmed99@gmail.com
ahmed,female,,lahore,it,82915.36,ahmed80@gmail.com
tariq,male,,islamabad,finance,122337.81,tariq64@gmail.com
